Symbol	Description
M5LU	5-Day Lows Volume Lt 100K
M5LV	5-Day Lows Volume GT 100K
M5LW	5-Day Lows S&P 500 Telcomm
M5LX	5-Day Lows Overall
M5LY	5-Day Lows S&P 500 Consumer Disc
M5LZ	5-Day Lows Russell 3000
M6DA	6-Month Hi-Lo AMEX
M6DB	6-Month Hi-Lo S&P 500 Materials
M6DC	6-Month Hi-Lo Russell 2000
M6DD	6-Month Hi-Lo Otcbb
M6DE	6-Month Hi-Lo ETFS
M6DF	6-Month Hi-Lo S&P 500 Financials
M6DG	6-Month Hi-Lo Russell 1000
M6DH	6-Month Hi-Lo Price GT $10
M6DI	6-Month Hi-Lo S&P 500 Industrials
M6DJ	6-Month Hi-Lo S&P 500 Utilities
M6DK	6-Month Hi-Lo S&P 500 Info Tech
M6DL	6-Month Hi-Lo Price Lt $10
M6DM	6-Month Hi-Lo S&P 500 Consumer Staples
M6DN	6-Month Hi-Lo NYSE
M6DO	6-Month Hi-Lo S&P 100
M6DP	6-Month Hi-Lo S&P 500
M6DQ	6-Month Hi-Lo Nasdaq
M6DR	6-Month Hi-Lo S&P 500 Real Estate
M6DS	6-Month Hi-Lo S&P 500 Health Care
M6DT	6-Month Hi-Lo S&P 500 Energies
M6DU	6-Month Hi-Lo Volume Lt 100K
M6DV	6-Month Hi-Lo Volume GT 100K
M6DW	6-Month Hi-Lo S&P 500 Telcomm
M6DX	6-Month Hi-Lo Overall
M6DY	6-Month Hi-Lo S&P 500 Consumer Disc
M6DZ	6-Month Hi-Lo Russell 3000
M6HA	6-Month Highs AMEX
M6HB	6-Month Highs S&P 500 Materials
M6HC	6-Month Highs Russell 2000
M6HD	6-Month Highs Otcbb
M6HE	6-Month Highs ETFS
M6HF	6-Month Highs S&P 500 Financials
M6HG	6-Month Highs Russell 1000
M6HH	6-Month Highs Price GT $10
M6HI	6-Month Highs S&P 500 Industrials
M6HJ	6-Month Highs S&P 500 Utilities
M6HK	6-Month Highs S&P 500 Info Tech
M6HL	6-Month Highs Price Lt $10
M6HM	6-Month Highs S&P 500 Consumer Staples
M6HN	6-Month Highs NYSE
M6HO	6-Month Highs S&P 100
M6HP	6-Month Highs S&P 500
M6HQ	6-Month Highs Nasdaq
M6HR	6-Month Highs S&P 500 Real Estate
M6HS	6-Month Highs S&P 500 Health Care
M6HT	6-Month Highs S&P 500 Energies
M6HU	6-Month Highs Volume Lt 100K
M6HV	6-Month Highs Volume GT 100K
M6HW	6-Month Highs S&P 500 Telcomm
M6HX	6-Month Highs Overall
M6HY	6-Month Highs S&P 500 Consumer Disc
M6HZ	6-Month Highs Russell 3000
M6LA	6-Month Lows AMEX
M6LB	6-Month Lows S&P 500 Materials
M6LC	6-Month Lows Russell 2000
M6LD	6-Month Lows Otcbb
M6LE	6-Month Lows ETFS
M6LF	6-Month Lows S&P 500 Financials
M6LG	6-Month Lows Russell 1000
M6LH	6-Month Lows Price GT $10
M6LI	6-Month Lows S&P 500 Industrials
M6LJ	6-Month Lows S&P 500 Utilities
M6LK	6-Month Lows S&P 500 Info Tech
M6LL	6-Month Lows Price Lt $10
M6LM	6-Month Lows S&P 500 Consumer Staples
M6LN	6-Month Lows NYSE
M6LO	6-Month Lows S&P 100
M6LP	6-Month Lows S&P 500
M6LQ	6-Month Lows Nasdaq
M6LR	6-Month Lows S&P 500 Real Estate
M6LS	6-Month Lows S&P 500 Health Care
M6LT	6-Month Lows S&P 500 Energies
M6LU	6-Month Lows Volume Lt 100K
M6LV	6-Month Lows Volume GT 100K
M6LW	6-Month Lows S&P 500 Telcomm
M6LX	6-Month Lows Overall
